gene,q,q_TSG_20_20,q_TSG_TUSCON,score_iSTOP,score_TUSCON,score_20_20,TSG_iSTOP,TSG_TUSCON,TSG_20_20,TSG_CGC
ASXL1,3.6197309132264744e-68,0.117741935484,0.0156097409492494,67.44132371323603,1.8066043041922297,0.929068829377322,TRUE,FALSE,FALSE,TRUE
ASXL2,0.03204380122123886,0.0833333333334,0.0065337129373113,1.4942559710057775,2.1848399504360856,1.0791812460472774,FALSE,TRUE,TRUE,FALSE
ATG5,0.06679862901829108,0.0727272727272,0.013747843632161,1.175232450936147,1.8617654161679098,1.1383026981667157,FALSE,FALSE,TRUE,FALSE
ATM,1.932690262326475e-43,0.0160714285714,5.23001264898268e-24,42.71383774149184,23.281497260773886,1.7939455175676478,TRUE,TRUE,TRUE,TRUE
ATP1A1,0.37326294012232053,0.93078654214,1,0.4279851274038613,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
ATR,0.10722570567401844,0.753020961775,0.744642293789012,0.9697010868998124,0.12805230059472814,0.12319293421562821,FALSE,FALSE,FALSE,TRUE
AXIN1,7.473747054737553e-30,0.0864077669902,0.0190580918534238,29.126461604719005,1.7199205842335274,1.0634472180607182,TRUE,FALSE,TRUE,TRUE
AXIN2,0.020344850622922354,0.907443897099,0.408577216483735,1.691545494499745,0.38872585461807935,0.04218021580534699,FALSE,FALSE,FALSE,TRUE
B2M,0.009125599667798013,0.0650602409638,4.80047043730299e-6,2.0397385872705445,5.318716200475762,1.1866843325534753,FALSE,TRUE,TRUE,TRUE
BAP1,2.2336114124723836e-14,0,4.98542840917211e-20,13.650992380055715,19.30229751583876,Inf,TRUE,TRUE,TRUE,TRUE
BCL10,0.2939164997235599,0.699074074074,0.487856448143415,0.531776033057166,0.31170795043707833,0.15547680385780746,FALSE,FALSE,FALSE,TRUE
BCL11B,0.320865536877506,0.937424468335,1,0.49367692655574436,-0,0.028063714860841173,FALSE,FALSE,FALSE,TRUE
BCL9L,0.10635478709892615,0.89774718398,1,0.9732429574410036,-0,0.04684594847854207,FALSE,FALSE,FALSE,TRUE
BCLAF1,0.08417714210383703,0.562180974476,0.0057377514142241,1.0748058230593986,2.2412582713164704,0.25012385602473813,FALSE,TRUE,FALSE,FALSE
BIRC3,0.34255830195011006,0.93078654214,1,0.4652655028273254,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
BLM,0.3997019477124963,0.925947281713,1,0.3982637354558608,-0,0.03341373892593988,FALSE,FALSE,FALSE,TRUE
BMPR1A,0.2057881697113968,0.93078654214,1,0.6865795954469477,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
BMPR2,1.1440602106638486e-5,0.417931034483,0.362214406136715,4.94155111848797,0.4410342807440446,0.37889537806843787,TRUE,FALSE,FALSE,FALSE
BRCA1,0.021746817692126524,0.0727272727272,0.010568045733838,1.6626042862893722,1.9760053159546096,1.1383026981667157,FALSE,TRUE,TRUE,TRUE
BRCA2,0.11707480117991519,0.0464788732393,0.00554872251444876,0.9315365710777128,2.2558069932353852,1.3327444088424643,FALSE,TRUE,TRUE,TRUE
BRD7,0.09021542595005182,0.0727272727272,0.0279849580432654,1.044719196025832,1.5530753398772077,1.1383026981667157,FALSE,FALSE,TRUE,FALSE
BRE,0.32562391175343136,0.00294117647059,0.0805745508792271,0.4872837107814121,1.0938021065567631,2.5314789170419947,FALSE,FALSE,TRUE,FALSE
BRIP1,0.418151944915585,0.937424468335,1,0.3786658788764602,-0,0.028063714860841173,FALSE,FALSE,FALSE,TRUE
BTG1,0.0451476150661019,0.93078654214,1,1.3453651864576384,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
BUB1B,0.3274680607463529,0.902011834319,1,0.48483105206316546,-0,0.0447877645137975,FALSE,FALSE,FALSE,TRUE
CAMTA1,0.47414297061796584,0.937424468335,1,0.3240906836673421,-0,0.028063714860841173,FALSE,FALSE,FALSE,TRUE
CARS,0.4410733376648857,0.93078654214,1,0.3554891939898652,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
CASP8,4.4985979253833795e-12,0.00454545454546,7.9085656612584e-20,11.346922821368906,19.101902275274224,2.3424226808216853,TRUE,TRUE,TRUE,TRUE
CBFB,2.827724555948964e-6,0.0210526315789,2.25997766914119e-4,5.548562896734201,3.6458958520989135,1.6766936096258438,TRUE,TRUE,TRUE,TRUE
CBL,6.422672717370903e-6,0.794792773646,1,5.192284207934715,-0,0.09974609020330656,TRUE,FALSE,FALSE,TRUE
CBLB,0.00299858756558411,0.912108980827,1,2.523083264253346,-0,0.03995326809246861,FALSE,FALSE,FALSE,TRUE
CBLC,0.31892256888159687,0.93078654214,1,0.4963147463765954,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
CCAR1,0.17830708925123073,0.0061224489796,0.0110488618094119,0.7488313895140195,1.9566824582097648,2.213074825308272,FALSE,TRUE,TRUE,FALSE
CCDC6,0.23160113817824057,0.318907563026,1,0.6352593106470422,-0,0.4963351811599559,FALSE,FALSE,FALSE,TRUE
CCDC88A,0.21566278656473806,0.361977186312,6.80820324272315e-4,0.6662247875997204,3.166967487900608,0.44131880010502805,FALSE,TRUE,FALSE,FALSE
CCNB1IP1,0.3509974288127245,0.937424468335,1,0.4546960648918273,-0,0.028063714860841173,FALSE,FALSE,FALSE,TRUE
CCR7,1.2958910628363065e-6,0.93078654214,1,5.887431505253672,-0,0.03114990462530433,TRUE,FALSE,FALSE,FALSE
CD163L1,2.1889471333428926e-4,0.938319314996,1,3.6597647272281915,-0,0.02764934377246787,TRUE,FALSE,FALSE,FALSE
CD1E,3.1739907235801785e-6,0.946505905512,1,5.49839434686404,-0,0.02387667200840066,TRUE,FALSE,FALSE,FALSE
CD274,0.3076719119249038,0.93078654214,1,0.511912149683055,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
CDC73,0.001030723625373528,0.446031746031,0.0194925173640257,2.986857769309808,1.710132070235558,0.35063422954922824,FALSE,FALSE,FALSE,TRUE
CDH1,9.496843521100806e-26,0,2.50203596320124e-22,25.022420717780324,21.601706452233486,Inf,TRUE,TRUE,TRUE,TRUE
CDH11,0.1710236323005543,0.9346509672,1,0.7669438740020664,-0,0.029350540270624406,FALSE,FALSE,FALSE,TRUE
CDK12,0.011487031991553674,0.17770700637,5.7677052346275e-8,1.9397921694144222,7.238996942852749,0.7502954491342352,FALSE,TRUE,FALSE,TRUE
CDKN1A,3.528032904520007e-4,0.036923076923,1.61283372941423e-9,3.452467373034314,8.792410402679197,1.4327021149321544,FALSE,TRUE,TRUE,FALSE
CDKN1B,0.0010747157854049565,0.00454545454546,1.95185427377928e-9,2.9687063721670883,8.709552610058685,2.3424226808216853,FALSE,TRUE,TRUE,TRUE
CDKN2A,1.2205523745407e-11,0.00454545454546,2.49553210257921e-83,10.913443580043605,82.60283683898827,2.3424226808216853,TRUE,TRUE,TRUE,TRUE
CDKN2C,0.023306556728891134,0.71323943662,1,1.6325218836694833,-0,0.14676465170960507,FALSE,FALSE,FALSE,TRUE
CDX2,0.3688431749898007,0.93078654214,1,0.4331582482410946,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
CEBPA,1.0358320322088434e-9,0.0727272727272,1.19166546971554e-4,8.984710662929592,3.9238456448031482,1.1383026981667157,TRUE,TRUE,TRUE,TRUE
CFH,2.8323343064023696e-6,0.93078654214,1,5.547855487261546,-0,0.03114990462530433,TRUE,FALSE,FALSE,FALSE
CHD8,0.20287951941004606,0.0220338983051,6.29727583992258e-4,0.6927617925730669,3.2008472828560257,1.6569086593350066,FALSE,TRUE,TRUE,FALSE
CHEK2,0.33006671644621327,0.912108980827,1,0.4813982672253663,-0,0.03995326809246861,FALSE,FALSE,FALSE,TRUE
CIC,4.247753308224421e-18,0.109482758621,1.01349882379664e-10,17.371840713204328,9.9941767509857,0.9606542682697305,TRUE,TRUE,FALSE,TRUE
CIITA,0.27422068106922753,0.93078654214,1,0.5618997948581449,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
CLTC,0.4559801081350162,0.919142857139,1,0.341054102764575,-0,0.036616983450128315,FALSE,FALSE,FALSE,TRUE
CLTCL1,0.3610754724520094,0.93078654214,1,0.44240201182389466,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
